product_id,product_family,technology,part_type,component_density_gb,module_density_gb,speed_mhz,data_rate_mt_s,io_voltage_v,operating_temp_min_c,operating_temp_max_c,bus_width_bits,cas_latency,pin_count,package,component_config,ecc,part_status,package_width_mm,package_length_mm,package_height_mm,inventory_units,weekly_demand_units,inventory_coverage_weeks,backlog_units,backlog_ratio,open_po_units,open_po_coverage,supplier_lead_time_days,supplier_otd_pct,demand_trend_4w_pct,allocation_status,supply_risk_next_4w,lead_time_next_4w_days,datasheet_id
ANM-D5C-0019,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,-40,95,16,CL40,78,VFBGA,2Gb x16,,Production,7.5,14.0,1.0,600,131,4.58,45,0.344,332,2.54,16,96.1,22.8,None,0,19.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0020,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,0,95,4,CL42,78,VFBGA,6Gb x4,,Sampling,7.5,14.0,1.0,176,89,1.98,49,0.551,177,1.99,39,87.8,10.4,Watch,0,48.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0021,DDR5_COMPONENT,DDR5,COMPONENT,32,,2600,5200,1.1,-40,95,4,CL42,82,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,1499,269,5.57,339,1.26,242,0.9,29,93.7,29.9,Watch,0,44.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0022,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,0,95,16,CL58,82,VFBGA,1Gb x16,,End of Life,7.5,14.0,1.0,1654,308,5.37,71,0.231,790,2.57,14,93.6,45.7,Watch,0,12.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0023,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,8,CL58,78,VFBGA,3Gb x8,,Production,7.5,14.0,1.0,153,216,0.71,0,0.0,247,1.14,46,88.9,47.0,Constrained,1,61.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0024,DDR5_COMPONENT,DDR5,COMPONENT,32,,2600,5200,1.1,0,95,16,CL42,78,VFBGA,2Gb x16,,Sampling,7.5,14.0,1.0,1539,314,4.9,176,0.561,236,0.75,22,89.2,33.9,Watch,1,30.1,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0025,DDR5_COMPONENT,DDR5,COMPONENT,16,,2400,4800,1.1,0,95,8,CL40,82,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,444,124,3.58,0,0.0,245,1.98,47,87.9,-4.7,None,0,53.6,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0026,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,-40,95,16,CL58,82,VFBGA,1Gb x16,,Introduction,7.5,14.0,1.0,388,100,3.88,111,1.11,59,0.6,58,84.9,-3.9,Watch,1,70.4,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0027,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,8,CL52,82,VFBGA,2Gb x8,,Contact Sales,7.5,14.0,1.0,280,327,0.86,243,0.743,923,2.82,43,92.0,15.6,Constrained,1,52.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0028,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,-40,95,4,CL40,78,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,328,52,6.31,0,0.0,96,1.85,14,97.5,-4.4,None,0,10.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0029,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,0,95,8,CL42,82,VFBGA,3Gb x8,,Production,7.5,14.0,1.0,642,122,5.26,243,1.992,107,0.88,51,91.0,15.0,Constrained,0,72.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0030,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,4,CL58,78,VFBGA,6Gb x4,,End of Life,7.5,14.0,1.0,995,158,6.3,15,0.095,199,1.26,27,92.1,8.7,None,0,28.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0031,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,8,CL52,82,VFBGA,2Gb x8,,Contact Sales,7.5,14.0,1.0,484,247,1.96,324,1.312,298,1.21,39,90.5,14.7,Constrained,1,49.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0032,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,8,CL52,82,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,611,469,1.3,0,0.0,1101,2.35,44,91.2,3.8,Watch,0,33.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0033,DDR5_COMPONENT,DDR5,COMPONENT,32,,3200,6400,1.1,0,95,4,CL52,78,VFBGA,8Gb x4,,End of Life,7.5,14.0,1.0,907,392,2.31,448,1.143,914,2.33,63,91.6,-5.1,Watch,0,71.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0034,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,-40,95,16,CL40,78,VFBGA,2Gb x16,,Production,7.5,14.0,1.0,142,168,0.85,7,0.042,212,1.27,50,93.2,3.7,Constrained,1,45.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0035,DDR5_COMPONENT,DDR5,COMPONENT,32,,2600,5200,1.1,0,95,4,CL42,78,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,343,146,2.35,252,1.726,377,2.59,30,85.4,-2.2,Constrained,0,50.1,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0036,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,0,95,4,CL52,102,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,825,154,5.36,76,0.494,118,0.77,41,96.4,42.8,Watch,0,46.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0037,DDR5_COMPONENT,DDR5,COMPONENT,32,,3600,7200,1.1,-40,95,8,CL58,102,VFBGA,4Gb x8,,Sampling,7.5,14.0,1.0,783,239,3.28,84,0.351,703,2.94,27,87.5,22.6,None,0,24.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0038,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,-40,95,16,CL42,82,VFBGA,1.5Gb x16,,End of Life,7.5,14.0,1.0,187,51,3.69,0,0.0,109,2.15,14,99.8,25.2,Watch,0,13.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0039,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,0,95,16,CL52,102,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,374,57,6.56,36,0.632,105,1.85,15,91.9,8.7,None,0,23.6,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0040,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,-40,95,4,CL40,78,VFBGA,6Gb x4,,Production,7.5,14.0,1.0,1216,341,3.57,55,0.161,800,2.35,27,95.6,16.8,None,0,24.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0041,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,16,CL58,102,VFBGA,1.5Gb x16,,Production,7.5,14.0,1.0,397,63,6.3,38,0.603,337,5.36,20,96.8,22.5,None,0,28.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0042,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,0,95,4,CL40,82,VFBGA,6Gb x4,,Production,7.5,14.0,1.0,200,84,2.38,81,0.964,312,3.72,56,84.1,-17.3,Watch,0,56.2,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0043,DDR5_COMPONENT,DDR5,COMPONENT,16,,2800,5600,1.1,-40,95,16,CL46,78,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,583,127,4.59,18,0.142,463,3.65,20,96.8,-1.1,None,0,12.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0044,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,-40,95,4,CL40,102,VFBGA,6Gb x4,,End of Life,7.5,14.0,1.0,556,147,3.78,0,0.0,355,2.42,28,90.2,-5.2,None,0,22.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0045,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,-40,95,16,CL58,78,VFBGA,1.5Gb x16,,Production,7.5,14.0,1.0,754,143,5.27,23,0.161,144,1.01,14,91.3,-21.8,None,0,14.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0046,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,-40,95,4,CL58,82,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,46,153,0.3,7,0.046,269,1.76,39,93.0,15.1,Constrained,1,44.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0047,DDR5_COMPONENT,DDR5,COMPONENT,16,,2800,5600,1.1,0,95,4,CL46,82,VFBGA,4Gb x4,,Introduction,7.5,14.0,1.0,207,110,1.88,410,3.727,128,1.17,89,78.9,4.5,Constrained,1,133.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0048,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,16,CL58,78,VFBGA,1.5Gb x16,,End of Life,7.5,14.0,1.0,262,86,3.06,0,0.0,150,1.75,17,89.7,34.4,Watch,0,25.6,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0049,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,-40,95,4,CL40,102,VFBGA,6Gb x4,,Contact Sales,7.5,14.0,1.0,1030,147,7.01,548,3.728,443,3.01,46,80.1,29.1,Constrained,1,81.4,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0050,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,0,95,16,CL42,78,VFBGA,1.5Gb x16,,Contact Sales,7.5,14.0,1.0,266,51,5.23,0,0.0,114,2.25,14,92.1,-6.7,None,0,10.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0051,DDR5_COMPONENT,DDR5,COMPONENT,24,,2800,5600,1.1,0,95,8,CL46,78,VFBGA,3Gb x8,,Production,7.5,14.0,1.0,231,152,1.52,111,0.73,213,1.4,33,89.7,13.5,Watch,0,43.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0052,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,-40,95,8,CL40,102,VFBGA,3Gb x8,,End of Life,7.5,14.0,1.0,3433,456,7.53,29,0.064,1033,2.27,14,94.0,8.7,None,0,10.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0053,DDR5_COMPONENT,DDR5,COMPONENT,16,,2400,4800,1.1,0,95,8,CL40,78,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,141,210,0.67,991,4.719,62,0.3,86,82.9,23.9,Constrained,1,140.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0054,DDR5_COMPONENT,DDR5,COMPONENT,32,,2800,5600,1.1,0,95,8,CL46,102,VFBGA,4Gb x8,,Production,7.5,14.0,1.0,1096,99,11.08,89,0.899,126,1.28,14,88.9,5.6,Watch,1,23.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0055,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,0,95,16,CL40,82,VFBGA,1.5Gb x16,,Production,7.5,14.0,1.0,969,282,3.44,26,0.092,646,2.29,33,97.9,-35.7,None,0,34.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0056,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,8,CL58,102,VFBGA,3Gb x8,,Production,7.5,14.0,1.0,666,127,5.25,0,0.0,77,0.61,16,99.8,9.9,None,0,14.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0057,DDR5_COMPONENT,DDR5,COMPONENT,24,,2800,5600,1.1,0,95,16,CL46,82,VFBGA,1.5Gb x16,,Production,7.5,14.0,1.0,339,234,1.45,150,0.641,162,0.7,36,94.6,44.9,Watch,1,48.2,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0058,DDR5_COMPONENT,DDR5,COMPONENT,32,,2600,5200,1.1,-40,95,16,CL42,102,VFBGA,2Gb x16,,Introduction,7.5,14.0,1.0,350,170,2.06,0,0.0,269,1.58,24,92.6,18.9,Watch,0,32.4,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0059,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,16,CL52,82,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,245,116,2.12,13,0.112,435,3.76,46,90.6,-18.4,Watch,0,38.2,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0060,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,0,95,16,CL42,102,VFBGA,1.5Gb x16,,Production,7.5,14.0,1.0,1489,337,4.42,131,0.389,2195,6.51,26,99.8,14.6,None,0,31.6,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0061,DDR5_COMPONENT,DDR5,COMPONENT,16,,2600,5200,1.1,-40,95,16,CL42,78,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,647,189,3.43,0,0.0,325,1.72,26,90.0,1.7,None,1,26.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0062,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,-40,95,4,CL58,102,VFBGA,6Gb x4,,Production,7.5,14.0,1.0,175,270,0.65,572,2.119,163,0.6,41,86.7,15.3,Constrained,1,70.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0063,DDR5_COMPONENT,DDR5,COMPONENT,24,,3200,6400,1.1,0,95,8,CL52,102,VFBGA,3Gb x8,,Production,7.5,14.0,1.0,75,94,0.8,24,0.255,140,1.49,22,92.3,16.5,Constrained,0,35.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0064,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,0,95,4,CL52,78,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,655,275,2.39,1152,4.189,431,1.57,83,80.9,-6.3,Constrained,1,123.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0065,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,4,CL52,82,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,280,145,1.93,275,1.897,6,0.05,38,89.1,9.2,Constrained,0,56.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0066,DDR5_COMPONENT,DDR5,COMPONENT,32,,3200,6400,1.1,-40,95,16,CL52,102,VFBGA,2Gb x16,,Contact Sales,7.5,14.0,1.0,556,136,4.09,0,0.0,625,4.6,34,99.1,17.0,None,0,29.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0067,DDR5_COMPONENT,DDR5,COMPONENT,16,,2800,5600,1.1,-40,95,16,CL46,82,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,443,111,3.99,23,0.207,138,1.25,27,94.4,33.6,Watch,0,27.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0068,DDR5_COMPONENT,DDR5,COMPONENT,16,,2800,5600,1.1,-40,95,8,CL46,78,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,142,103,1.39,69,0.67,47,0.47,35,96.2,-8.7,Watch,0,33.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0069,DDR5_COMPONENT,DDR5,COMPONENT,16,,2600,5200,1.1,-40,95,4,CL42,82,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,270,63,4.29,107,1.698,8,0.13,54,88.8,-2.0,Constrained,1,77.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0070,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,0,95,8,CL52,82,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,2167,485,4.47,267,0.551,628,1.3,18,89.2,7.5,None,0,19.6,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0071,DDR5_COMPONENT,DDR5,COMPONENT,24,,3200,6400,1.1,0,95,16,CL52,78,VFBGA,1.5Gb x16,,Production,7.5,14.0,1.0,118,185,0.64,28,0.151,406,2.2,63,99.8,-14.1,Constrained,1,65.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0072,DDR5_COMPONENT,DDR5,COMPONENT,24,,2800,5600,1.1,-40,95,16,CL46,82,VFBGA,1.5Gb x16,,Contact Sales,7.5,14.0,1.0,658,136,4.84,11,0.081,208,1.53,21,90.7,-7.0,None,0,14.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0073,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,0,95,8,CL40,102,VFBGA,4Gb x8,,Production,7.5,14.0,1.0,83,89,0.94,80,0.899,21,0.25,49,92.0,14.9,Constrained,0,51.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0074,DDR5_COMPONENT,DDR5,COMPONENT,16,,2400,4800,1.1,-40,95,8,CL40,78,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,258,147,1.76,230,1.565,120,0.82,51,96.4,-7.3,Constrained,1,74.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0075,DDR5_COMPONENT,DDR5,COMPONENT,24,,2800,5600,1.1,-40,95,8,CL46,82,VFBGA,3Gb x8,,Production,7.5,14.0,1.0,416,219,1.9,0,0.0,626,2.86,14,93.1,23.2,Watch,0,17.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0076,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,0,95,16,CL42,78,VFBGA,1.5Gb x16,,End of Life,7.5,14.0,1.0,1003,232,4.33,273,1.177,487,2.1,40,91.3,8.9,Watch,1,46.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0077,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,0,95,4,CL58,82,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,451,81,5.57,124,1.531,114,1.41,14,91.4,-14.8,Constrained,0,35.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0078,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,16,CL52,78,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,406,128,3.17,254,1.984,222,1.74,53,91.6,5.5,Constrained,0,78.6,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0079,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,-40,95,4,CL40,102,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,750,111,6.76,141,1.27,210,1.9,14,83.2,-11.7,Watch,1,31.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0080,DDR5_COMPONENT,DDR5,COMPONENT,32,,3200,6400,1.1,0,95,8,CL52,102,VFBGA,4Gb x8,,Production,7.5,14.0,1.0,194,125,1.56,0,0.0,96,0.77,33,94.9,31.9,Watch,0,31.2,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0081,DDR5_COMPONENT,DDR5,COMPONENT,16,,2800,5600,1.1,0,95,16,CL46,82,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,633,255,2.48,914,3.584,217,0.85,88,89.7,-24.3,Constrained,1,124.2,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0082,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,-40,95,16,CL58,82,VFBGA,1Gb x16,,Introduction,7.5,14.0,1.0,205,111,1.85,8,0.072,371,3.35,53,91.5,-11.0,Watch,1,55.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0083,DDR5_COMPONENT,DDR5,COMPONENT,24,,3200,6400,1.1,0,95,16,CL52,78,VFBGA,1.5Gb x16,,Sampling,7.5,14.0,1.0,475,109,4.36,402,3.688,313,2.87,59,85.3,13.8,Constrained,0,103.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0084,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,-40,95,16,CL58,82,VFBGA,1.5Gb x16,,Introduction,7.5,14.0,1.0,286,92,3.11,0,0.0,73,0.8,19,94.9,3.7,None,0,24.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0085,DDR5_COMPONENT,DDR5,COMPONENT,24,,2600,5200,1.1,-40,95,4,CL42,78,VFBGA,6Gb x4,,Sampling,7.5,14.0,1.0,1160,595,1.95,1075,1.807,316,0.53,57,89.8,20.8,Constrained,1,79.7,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0086,DDR5_COMPONENT,DDR5,COMPONENT,32,,3200,6400,1.1,0,95,8,CL52,82,VFBGA,4Gb x8,,Production,7.5,14.0,1.0,848,185,4.58,269,1.454,612,3.31,34,90.2,25.7,Constrained,1,47.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0087,DDR5_COMPONENT,DDR5,COMPONENT,24,,2800,5600,1.1,-40,95,8,CL46,102,VFBGA,3Gb x8,,End of Life,7.5,14.0,1.0,393,181,2.17,51,0.282,272,1.5,34,93.5,17.6,Watch,1,31.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0088,DDR5_COMPONENT,DDR5,COMPONENT,32,,3200,6400,1.1,0,95,8,CL52,102,VFBGA,4Gb x8,,Sampling,7.5,14.0,1.0,1127,337,3.34,206,0.611,1408,4.18,41,92.9,-4.0,None,0,47.7,DS-DDR5-COMPONENT-FAMILY
